Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
mysterium,"Mar 22, 2018",0.447197,0.455628,0.394336,0.435068,"199,905","8,688,610"
mysterium,"Mar 21, 2018",0.443439,0.466947,0.441747,0.446788,"186,741","8,615,580"
mysterium,"Mar 20, 2018",0.421888,0.446454,0.404437,0.441850,"69,843","8,196,880"
mysterium,"Mar 19, 2018",0.395912,0.420585,0.384042,0.419042,"129,210","7,692,190"
mysterium,"Mar 18, 2018",0.406097,0.406097,0.353204,0.396796,"130,593","7,890,070"
mysterium,"Mar 17, 2018",0.444550,0.444550,0.403476,0.406551,"146,507","8,637,170"
mysterium,"Mar 16, 2018",0.457713,0.465519,0.443968,0.443968,"158,019","8,892,920"
mysterium,"Mar 15, 2018",0.475301,0.477118,0.448963,0.458619,"139,207","9,234,630"
mysterium,"Mar 14, 2018",0.547449,0.555571,0.470718,0.475355,"150,971","10,636,400"
mysterium,"Mar 13, 2018",0.547419,0.566838,0.539080,0.547333,"168,268","10,635,800"
mysterium,"Mar 12, 2018",0.551210,0.577799,0.536756,0.547622,"160,359","10,709,500"
mysterium,"Mar 11, 2018",0.542243,0.556835,0.505135,0.551776,"206,789","10,535,300"
mysterium,"Mar 10, 2018",0.558564,0.588560,0.542029,0.544225,"170,206","10,852,400"
mysterium,"Mar 09, 2018",0.595626,0.599854,0.538054,0.558086,"132,700","11,572,400"
mysterium,"Mar 08, 2018",0.606081,0.640259,0.592003,0.597124,"171,004","11,775,600"
mysterium,"Mar 07, 2018",0.659942,0.665475,0.589188,0.607588,"162,169","12,822,000"
mysterium,"Mar 06, 2018",0.689304,0.692259,0.654373,0.660046,"180,693","13,392,500"
mysterium,"Mar 05, 2018",0.687257,0.708007,0.679524,0.689221,"236,153","13,352,700"
mysterium,"Mar 04, 2018",0.684433,0.687895,0.668861,0.686447,"187,465","13,297,900"
mysterium,"Mar 03, 2018",0.662248,0.691176,0.662248,0.685983,"209,445","12,866,800"
mysterium,"Mar 02, 2018",0.647135,0.664918,0.635289,0.662580,"183,461","12,573,200"
mysterium,"Mar 01, 2018",0.651903,0.662806,0.645771,0.647906,"180,986","12,665,800"
mysterium,"Feb 28, 2018",0.674745,0.691206,0.651981,0.652328,"165,864","13,109,600"
mysterium,"Feb 27, 2018",0.690256,0.706628,0.673494,0.675668,"185,961","13,411,000"
mysterium,"Feb 26, 2018",0.655772,0.699287,0.652594,0.688956,"58,369","12,741,000"
mysterium,"Feb 25, 2018",0.656743,0.674941,0.642314,0.655549,"158,627","12,759,900"
mysterium,"Feb 24, 2018",0.694744,0.717980,0.637545,0.657677,"199,355","13,498,200"
mysterium,"Feb 23, 2018",0.655349,0.697399,0.642021,0.694548,"139,026","12,732,800"
mysterium,"Feb 22, 2018",0.710473,0.729428,0.653495,0.655871,"175,432","13,803,800"
mysterium,"Feb 21, 2018",0.749016,0.753261,0.701300,0.710392,"209,638","14,552,700"
mysterium,"Feb 20, 2018",0.814655,0.836408,0.745051,0.748522,"203,390","15,828,000"
mysterium,"Feb 19, 2018",0.774289,0.816066,0.772264,0.812862,"164,318","15,043,700"
mysterium,"Feb 18, 2018",0.830445,0.830445,0.770017,0.776806,"205,933","16,134,700"
mysterium,"Feb 17, 2018",0.805672,0.836439,0.795514,0.827548,"234,799","15,653,400"
mysterium,"Feb 16, 2018",0.771593,0.807982,0.766218,0.806470,"62,532","14,991,300"
mysterium,"Feb 15, 2018",0.737239,0.781767,0.731472,0.772595,"154,427","14,323,800"
mysterium,"Feb 14, 2018",0.680973,0.739596,0.680973,0.736383,"139,413","13,230,600"
mysterium,"Feb 13, 2018",0.716822,0.718842,0.679344,0.681760,"189,898","13,927,200"
mysterium,"Feb 12, 2018",0.661139,0.721043,0.660763,0.716002,"167,245","12,845,300"
mysterium,"Feb 11, 2018",0.669986,0.676773,0.620178,0.658263,"120,720","13,017,200"
mysterium,"Feb 10, 2018",0.673972,0.700258,0.647744,0.670534,"98,179","13,094,600"
mysterium,"Feb 09, 2018",0.645237,0.676169,0.598863,0.675238,"178,476","12,536,300"
mysterium,"Feb 08, 2018",0.531070,0.648502,0.531070,0.643470,"72,961","10,318,200"
mysterium,"Feb 07, 2018",0.546009,0.588618,0.504124,0.531577,"53,010","10,608,400"
mysterium,"Feb 06, 2018",0.485617,0.554508,0.415785,0.547976,"59,416","9,435,060"
mysterium,"Feb 05, 2018",0.653740,0.665895,0.470395,0.484917,"73,693","12,701,500"
mysterium,"Feb 04, 2018",0.628561,0.689581,0.612897,0.658790,"88,511","12,212,300"
mysterium,"Feb 03, 2018",0.604074,0.632925,0.569682,0.628421,"62,129","11,736,600"
mysterium,"Feb 02, 2018",0.621075,0.623024,0.496740,0.602305,"66,746","12,066,900"
mysterium,"Feb 01, 2018",0.660596,0.675563,0.589734,0.622563,"82,505","12,834,700"
mysterium,"Jan 31, 2018",0.677204,0.681117,0.643252,0.659085,"66,665","13,157,400"
mysterium,"Jan 30, 2018",0.730436,0.747432,0.648376,0.674698,"135,502","14,191,700"
mysterium,"Jan 29, 2018",0.784457,0.799342,0.716823,0.730268,"296,509","15,241,200"
mysterium,"Jan 28, 2018",0.899539,0.931759,0.705102,0.779799,"559,278","17,477,200"
mysterium,"Jan 27, 2018",0.938792,0.942668,0.864399,0.894461,"1,747,450","18,239,800"
mysterium,"Jan 26, 2018",0.856095,1.02,0.815508,0.937708,"4,585,910","16,633,100"
mysterium,"Jan 25, 2018",1.13,1.19,0.814843,0.862401,"3,700,710","21,877,600"
mysterium,"Jan 24, 2018",0.987589,1.32,0.987589,1.04,"8,606,680","19,187,900"
mysterium,"Jan 23, 2018",1.01,1.05,0.895688,0.980188,"705,091","19,695,900"
mysterium,"Jan 22, 2018",1.07,1.10,0.909142,1.01,"877,865","20,729,100"
mysterium,"Jan 21, 2018",1.29,1.29,0.993296,1.06,"1,188,990","25,070,500"
mysterium,"Jan 20, 2018",1.25,1.32,1.16,1.29,"1,554,530","24,253,500"
mysterium,"Jan 19, 2018",1.16,1.33,1.09,1.26,"2,308,620","22,452,900"
mysterium,"Jan 18, 2018",0.969944,1.37,0.929706,1.16,"3,823,870","18,845,100"
mysterium,"Jan 17, 2018",0.891294,1.00,0.660137,0.971175,"1,363,750","17,317,000"
mysterium,"Jan 16, 2018",1.42,1.61,0.737767,0.870841,"4,048,720","27,597,200"
mysterium,"Jan 15, 2018",1.63,1.76,1.38,1.42,"10,773,300","31,622,600"
mysterium,"Jan 14, 2018",2.31,2.31,1.54,1.67,"11,647,600","44,926,600"
mysterium,"Jan 13, 2018",3.04,3.41,2.18,2.39,"8,439,780","59,034,300"
mysterium,"Jan 12, 2018",2.56,3.87,2.56,3.26,"14,368,000","49,784,000"
mysterium,"Jan 11, 2018",3.20,3.28,2.23,2.55,"3,726,510","62,078,600"
mysterium,"Jan 10, 2018",4.22,4.66,2.91,3.22,"13,128,900","81,899,900"
mysterium,"Jan 09, 2018",4.33,5.65,3.52,3.62,"39,682,500","84,104,700"
mysterium,"Jan 08, 2018",2.00,3.83,1.96,3.67,"12,362,200","38,890,600"
mysterium,"Jan 07, 2018",2.10,2.18,1.91,2.00,"1,455,850","40,721,600"
mysterium,"Jan 06, 2018",1.85,2.14,1.76,2.10,"1,046,330","36,011,400"
mysterium,"Jan 05, 2018",1.99,2.03,1.82,1.85,"1,942,770","38,710,400"
mysterium,"Jan 04, 2018",2.04,2.23,1.81,2.02,"2,802,050","39,616,600"
mysterium,"Jan 03, 2018",2.13,2.13,1.86,2.03,"1,522,580","41,288,400"
mysterium,"Jan 02, 2018",1.80,2.12,1.80,2.12,"2,466,270","35,036,900"
mysterium,"Jan 01, 2018",1.79,1.83,1.67,1.80,"1,344,070","34,719,900"
