Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
herocoin,"Mar 11, 2018",0.048484,0.051969,0.044946,0.051008,"154,651","5,772,380"
herocoin,"Mar 10, 2018",0.049758,0.052034,0.044222,0.048640,"84,392","5,924,050"
herocoin,"Mar 09, 2018",0.049749,0.050541,0.041430,0.049764,"12,370","5,923,020"
herocoin,"Mar 08, 2018",0.056060,0.063586,0.049292,0.049869,"158,435","6,674,300"
herocoin,"Mar 07, 2018",0.065159,0.069727,0.046785,0.055565,"120,355","7,757,680"
herocoin,"Mar 06, 2018",0.072031,0.076486,0.064487,0.065177,"94,603","8,575,820"
herocoin,"Mar 05, 2018",0.074619,0.078002,0.070103,0.072171,"140,158","8,883,880"
herocoin,"Mar 04, 2018",0.072224,0.075898,0.067086,0.075091,"80,207","8,598,810"
herocoin,"Mar 03, 2018",0.067516,0.077943,0.067516,0.072289,"44,138","8,038,280"
herocoin,"Mar 02, 2018",0.069584,0.071714,0.065154,0.068020,"13,678","8,284,480"
herocoin,"Mar 01, 2018",0.072453,0.073924,0.065052,0.069720,"24,693","8,626,050"
herocoin,"Feb 28, 2018",0.078059,0.079394,0.063267,0.072402,"46,104","9,293,450"
herocoin,"Feb 27, 2018",0.089825,0.093237,0.076451,0.078095,"81,786","10,694,300"
herocoin,"Feb 26, 2018",0.079129,0.099295,0.074654,0.089580,"199,356","9,420,870"
herocoin,"Feb 25, 2018",0.087091,0.091546,0.070058,0.079045,"194,089","10,368,800"
herocoin,"Feb 24, 2018",0.084461,0.116096,0.076276,0.087898,"685,395","10,055,700"
herocoin,"Feb 23, 2018",0.066821,0.118864,0.064597,0.084796,"854,416","7,955,540"
herocoin,"Feb 22, 2018",0.067081,0.072002,0.065039,0.066070,"5,118","7,986,490"
herocoin,"Feb 21, 2018",0.099869,0.099869,0.063951,0.067189,"33,893","11,571,600"
herocoin,"Feb 20, 2018",0.097660,0.111243,0.084149,0.099988,"111,840","11,315,600"
herocoin,"Feb 19, 2018",0.075324,0.097845,0.072010,0.097788,"236,042","8,727,630"
herocoin,"Feb 18, 2018",0.078746,0.084810,0.068515,0.075581,"16,509","9,124,160"
herocoin,"Feb 17, 2018",0.084283,0.090070,0.069930,0.078694,"27,233","9,765,670"
herocoin,"Feb 16, 2018",0.085925,0.086821,0.070683,0.084266,"82,475","9,955,920"
herocoin,"Feb 15, 2018",0.075485,0.086817,0.074321,0.086121,"257,017","8,746,220"
herocoin,"Feb 14, 2018",0.051638,0.082193,0.051638,0.075445,"168,923","5,983,120"
herocoin,"Feb 13, 2018",0.064475,0.068048,0.046064,0.051672,"2,552","7,470,580"
herocoin,"Feb 12, 2018",0.063411,0.081042,0.055574,0.064384,"1,341","7,347,310"
herocoin,"Feb 11, 2018",0.067570,0.074971,0.052031,0.063104,532,"7,829,230"
herocoin,"Feb 10, 2018",0.053213,0.069639,0.034752,0.067682,"10,459","6,165,640"
herocoin,"Feb 09, 2018",0.043004,0.063028,0.030301,0.053745,"2,994","4,982,800"
herocoin,"Feb 08, 2018",0.046222,0.069107,0.030836,0.042884,"10,199","5,355,660"
herocoin,"Feb 07, 2018",0.065710,0.069310,0.044646,0.045975,"3,191","7,613,640"
herocoin,"Feb 06, 2018",0.058742,0.066183,0.039056,0.065842,"11,246","6,806,300"
herocoin,"Feb 05, 2018",0.075412,0.076777,0.053217,0.058560,"1,210","8,737,870"
herocoin,"Feb 04, 2018",0.087607,0.087607,0.057125,0.074985,"13,863","10,150,900"
herocoin,"Feb 03, 2018",0.076006,0.090909,0.070051,0.087574,"12,823","8,806,580"
herocoin,"Feb 02, 2018",0.078056,0.078056,0.059620,0.075680,"2,991","8,751,470"
herocoin,"Feb 01, 2018",0.085066,0.097728,0.073708,0.078339,"8,044","9,537,400"
herocoin,"Jan 31, 2018",0.087953,0.097315,0.078739,0.084890,"5,395","9,861,130"
herocoin,"Jan 30, 2018",0.099189,0.108109,0.080117,0.087797,"7,830","11,120,900"
herocoin,"Jan 29, 2018",0.112153,0.113114,0.094473,0.099151,"6,097","12,574,300"
herocoin,"Jan 28, 2018",0.095271,0.119675,0.095271,0.112856,"9,558","10,681,600"
herocoin,"Jan 27, 2018",0.095066,0.112697,0.082461,0.094714,"4,735","10,658,500"
herocoin,"Jan 26, 2018",0.094805,0.101214,0.074247,0.095073,"9,475","10,629,300"
herocoin,"Jan 25, 2018",0.109614,0.111107,0.089796,0.096840,"10,417","12,289,600"
herocoin,"Jan 24, 2018",0.100650,0.108754,0.093333,0.108754,"10,433","11,284,600"
herocoin,"Jan 23, 2018",0.112370,0.113729,0.085945,0.101887,"4,246","12,598,700"
herocoin,"Jan 22, 2018",0.121362,0.126650,0.103772,0.112579,"9,222","13,606,900"
herocoin,"Jan 21, 2018",0.136623,0.137779,0.106441,0.119948,"22,611","15,317,900"
herocoin,"Jan 20, 2018",0.126731,0.143054,0.118354,0.136297,"22,509","14,208,800"
herocoin,"Jan 19, 2018",0.118188,0.130173,0.109301,0.125652,"14,750","13,250,900"
herocoin,"Jan 18, 2018",0.128699,0.133794,0.110829,0.119146,"18,512","14,429,400"
herocoin,"Jan 17, 2018",0.126822,0.131265,0.094030,0.127728,"49,140","13,419,400"
herocoin,"Jan 16, 2018",0.177726,0.177900,0.110506,0.127406,"33,452","18,805,800"
herocoin,"Jan 15, 2018",0.179378,0.186316,0.162227,0.177424,"88,656",-
herocoin,"Jan 14, 2018",0.149324,0.188442,0.147361,0.179777,"88,852",-
herocoin,"Jan 13, 2018",0.149025,0.168723,0.142864,0.149206,"141,889",-
herocoin,"Jan 12, 2018",0.144901,0.196096,0.132395,0.147813,"76,645",-
herocoin,"Jan 11, 2018",0.316456,0.324006,0.134425,0.135313,"127,208",-
herocoin,"Jan 10, 2018",0.229161,0.323724,0.215023,0.302658,"350,147",-
herocoin,"Jan 09, 2018",0.162305,0.261413,0.154486,0.238414,"233,058",-
herocoin,"Jan 08, 2018",0.166523,0.184363,0.123034,0.156625,"145,890",-
herocoin,"Jan 07, 2018",0.097819,0.190384,0.095578,0.165665,"123,606",-
herocoin,"Jan 06, 2018",0.075242,0.172552,0.063848,0.097878,"166,745",-
herocoin,"Jan 05, 2018",0.082894,0.098727,0.051504,0.075100,"87,376",-
herocoin,"Jan 04, 2018",0.046992,0.087201,0.038172,0.083064,"109,826",-
herocoin,"Jan 03, 2018",0.083928,0.085903,0.044670,0.047430,"16,059",-
herocoin,"Jan 02, 2018",0.092568,0.093062,0.060710,0.083345,"90,546",-
