Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
hellogold,"Mar 14, 2018",0.035369,0.036295,0.027464,0.029142,"1,736","9,303,180"
hellogold,"Mar 13, 2018",0.038741,0.040317,0.033057,0.034529,"17,008","10,190,300"
hellogold,"Mar 12, 2018",0.031741,0.043347,0.029235,0.039821,"61,051","8,348,980"
hellogold,"Mar 11, 2018",0.030186,0.034264,0.026426,0.031780,"13,392","7,939,830"
hellogold,"Mar 10, 2018",0.032979,0.036267,0.029278,0.030261,"12,230","8,674,680"
hellogold,"Mar 09, 2018",0.039985,0.040386,0.028570,0.032994,"16,603","10,517,400"
hellogold,"Mar 08, 2018",0.036023,0.046329,0.032261,0.037948,"14,130","9,475,210"
hellogold,"Mar 07, 2018",0.033322,0.045120,0.032864,0.036030,"7,703","8,764,910"
hellogold,"Mar 06, 2018",0.038239,0.048593,0.032876,0.033293,"12,721","10,058,100"
hellogold,"Mar 05, 2018",0.047892,0.047892,0.037267,0.038233,"5,722","12,597,300"
hellogold,"Mar 04, 2018",0.042149,0.047627,0.032108,0.047582,"31,288","11,086,700"
hellogold,"Mar 03, 2018",0.031022,0.043351,0.024893,0.042075,"282,873","8,159,970"
hellogold,"Mar 02, 2018",0.043312,0.045833,0.029988,0.030820,"162,495","11,392,400"
hellogold,"Mar 01, 2018",0.045948,0.047497,0.039634,0.043325,"189,694","12,085,800"
hellogold,"Feb 28, 2018",0.049325,0.057861,0.043741,0.045466,"127,626","12,974,000"
hellogold,"Feb 27, 2018",0.053881,0.055249,0.048308,0.049316,"154,188","14,172,700"
hellogold,"Feb 26, 2018",0.049378,0.059440,0.049378,0.053735,"12,191","12,988,200"
hellogold,"Feb 25, 2018",0.051432,0.061244,0.045593,0.049326,"46,987","13,528,400"
hellogold,"Feb 24, 2018",0.050616,0.056534,0.048137,0.051407,"28,991","13,313,800"
hellogold,"Feb 23, 2018",0.052478,0.056517,0.048143,0.050469,"18,733","13,803,600"
hellogold,"Feb 22, 2018",0.049865,0.054703,0.044454,0.052527,"176,109","13,116,100"
hellogold,"Feb 21, 2018",0.059409,0.070230,0.051411,0.051426,"43,761","15,626,700"
hellogold,"Feb 20, 2018",0.054650,0.062390,0.052388,0.059209,"136,319","14,374,700"
hellogold,"Feb 19, 2018",0.059822,0.071182,0.052706,0.054626,"34,618","15,735,300"
hellogold,"Feb 18, 2018",0.077230,0.077230,0.054970,0.059993,"76,812","20,314,200"
hellogold,"Feb 17, 2018",0.079711,0.083619,0.061647,0.077182,"110,092","20,966,700"
hellogold,"Feb 16, 2018",0.078753,0.081522,0.076782,0.078414,"301,849","20,714,700"
hellogold,"Feb 15, 2018",0.084881,0.087896,0.077139,0.078829,"351,782","22,326,700"
hellogold,"Feb 14, 2018",0.081685,0.088155,0.075397,0.084655,"51,219","21,486,100"
hellogold,"Feb 13, 2018",0.089359,0.091140,0.074516,0.080104,"129,785","23,504,500"
hellogold,"Feb 12, 2018",0.104154,0.108294,0.087261,0.089451,"70,456","27,396,200"
hellogold,"Feb 11, 2018",0.077786,0.114995,0.070923,0.103485,"56,961","20,460,400"
hellogold,"Feb 10, 2018",0.083719,0.090874,0.072505,0.077933,"64,838","22,021,000"
hellogold,"Feb 09, 2018",0.083440,0.093739,0.073092,0.082972,"44,940","21,947,700"
hellogold,"Feb 08, 2018",0.085488,0.092839,0.072689,0.083729,"103,169","22,486,300"
hellogold,"Feb 07, 2018",0.076271,0.098893,0.072203,0.086250,"167,064","20,061,900"
hellogold,"Feb 06, 2018",0.052324,0.081545,0.040464,0.076421,"271,342","13,763,100"
hellogold,"Feb 05, 2018",0.066205,0.069981,0.047686,0.051993,"103,596","17,414,300"
hellogold,"Feb 04, 2018",0.103299,0.108848,0.062997,0.066791,"155,029","27,171,100"
hellogold,"Feb 03, 2018",0.098838,0.103032,0.083608,0.102703,"172,709","25,998,000"
hellogold,"Feb 02, 2018",0.108637,0.131433,0.080834,0.098530,"151,016","28,575,400"
hellogold,"Feb 01, 2018",0.129203,0.139474,0.105802,0.116098,"117,382","33,985,000"
hellogold,"Jan 31, 2018",0.126912,0.141287,0.124534,0.128725,"47,552","33,382,300"
hellogold,"Jan 30, 2018",0.160785,0.160785,0.122621,0.126663,"91,350","42,292,100"
hellogold,"Jan 29, 2018",0.194592,0.200357,0.146254,0.159564,"171,504","51,184,500"
hellogold,"Jan 28, 2018",0.199881,0.207207,0.169832,0.194705,"234,996","52,575,700"
hellogold,"Jan 27, 2018",0.135770,0.201959,0.126944,0.198547,"353,009","35,712,100"
hellogold,"Jan 26, 2018",0.170990,0.172043,0.125817,0.136392,"128,088","44,976,400"
hellogold,"Jan 25, 2018",0.172779,0.185995,0.151452,0.171518,"191,868","45,446,900"
hellogold,"Jan 24, 2018",0.207481,0.211572,0.157164,0.176536,"269,204","54,574,600"
hellogold,"Jan 23, 2018",0.215894,0.245101,0.165265,0.206622,"726,340","56,787,700"
hellogold,"Jan 22, 2018",0.302481,0.308950,0.180597,0.216422,"555,804","79,563,000"
hellogold,"Jan 21, 2018",0.337425,0.366322,0.258139,0.301416,"1,060,340","88,754,500"
hellogold,"Jan 20, 2018",0.354423,0.362090,0.254607,0.342298,"1,246,390","93,225,400"
hellogold,"Jan 19, 2018",0.099751,0.681497,0.096790,0.350688,"3,034,050","26,237,900"
hellogold,"Jan 18, 2018",0.082070,0.115353,0.080437,0.100536,"121,495","21,587,300"
hellogold,"Jan 17, 2018",0.061231,0.087683,0.043524,0.081170,"59,554","16,105,900"
hellogold,"Jan 16, 2018",0.064326,0.071831,0.046429,0.061422,"54,162","16,919,900"
hellogold,"Jan 15, 2018",0.074345,0.076923,0.064192,0.064192,"68,692","19,555,200"
hellogold,"Jan 14, 2018",0.070628,0.074766,0.064442,0.074327,"72,467","18,577,800"
hellogold,"Jan 13, 2018",0.065895,0.073012,0.061643,0.070549,"71,166","17,332,700"
hellogold,"Jan 12, 2018",0.054021,0.067250,0.051647,0.067123,"112,735","14,209,300"
hellogold,"Jan 11, 2018",0.060559,0.064696,0.049592,0.053407,"60,584","15,929,200"
hellogold,"Jan 10, 2018",0.060851,0.063012,0.050831,0.060694,"81,973","16,005,900"
hellogold,"Jan 09, 2018",0.053123,0.074202,0.053123,0.060837,"73,781","13,973,300"
hellogold,"Jan 08, 2018",0.055653,0.062315,0.041506,0.053868,"63,512","14,638,600"
hellogold,"Jan 07, 2018",0.046944,0.055217,0.040560,0.055217,"125,170","12,348,000"
hellogold,"Jan 06, 2018",0.056501,0.056824,0.042506,0.047948,"48,798","14,861,600"
hellogold,"Jan 05, 2018",0.042774,0.062387,0.042425,0.056235,"68,682","11,251,200"
hellogold,"Jan 04, 2018",0.040855,0.056600,0.038426,0.044018,"49,742","10,746,300"
hellogold,"Jan 03, 2018",0.038821,0.041134,0.032758,0.040786,"48,766","10,211,300"
hellogold,"Jan 02, 2018",0.034355,0.040892,0.034105,0.038643,"67,652","9,036,500"
hellogold,"Jan 01, 2018",0.033109,0.034848,0.029385,0.034275,"101,918","8,708,860"
