Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
firstblood,"Apr 16, 2018",0.277156,0.285609,0.242497,0.256222,"492,241","23,713,000"
firstblood,"Apr 15, 2018",0.206671,0.293654,0.200828,0.277257,"1,203,670","17,682,400"
firstblood,"Apr 14, 2018",0.194794,0.210838,0.191968,0.206512,"277,500","16,666,300"
firstblood,"Apr 13, 2018",0.191997,0.232575,0.180405,0.194711,"679,235","16,427,000"
firstblood,"Apr 12, 2018",0.165844,0.191840,0.149994,0.191840,"565,894","14,189,300"
firstblood,"Apr 11, 2018",0.149004,0.167117,0.148968,0.166047,"235,477","12,748,500"
firstblood,"Apr 10, 2018",0.155581,0.158509,0.148117,0.148874,"249,107","13,311,200"
firstblood,"Apr 09, 2018",0.163673,0.169887,0.148073,0.155464,"638,402","14,003,600"
firstblood,"Apr 08, 2018",0.160825,0.168778,0.154137,0.163416,"518,098","13,759,900"
firstblood,"Apr 07, 2018",0.152173,0.166095,0.151966,0.160683,"742,070","13,019,700"
firstblood,"Apr 06, 2018",0.168882,0.169286,0.150711,0.152004,"592,993","14,449,300"
firstblood,"Apr 05, 2018",0.153162,0.169653,0.150676,0.169563,"112,154","13,104,300"
firstblood,"Apr 04, 2018",0.167875,0.173536,0.150762,0.153256,"108,162","14,363,100"
firstblood,"Apr 03, 2018",0.168347,0.178641,0.163730,0.167918,"96,991","14,403,500"
firstblood,"Apr 02, 2018",0.174952,0.179954,0.160823,0.168237,"118,974","14,968,600"
firstblood,"Apr 01, 2018",0.173866,0.187795,0.165397,0.174205,"328,742","14,875,700"
firstblood,"Mar 31, 2018",0.166447,0.186358,0.165848,0.173931,"95,334","14,240,900"
firstblood,"Mar 30, 2018",0.174452,0.174797,0.152230,0.166722,"164,642","14,925,800"
firstblood,"Mar 29, 2018",0.196464,0.196464,0.167325,0.174555,"189,073","16,809,200"
firstblood,"Mar 28, 2018",0.164101,0.207183,0.162802,0.198565,"289,605","14,040,200"
firstblood,"Mar 27, 2018",0.163746,0.169127,0.158369,0.164043,"107,282","14,009,900"
firstblood,"Mar 26, 2018",0.169440,0.174889,0.157556,0.163145,"90,913","14,497,000"
firstblood,"Mar 25, 2018",0.172149,0.179566,0.164482,0.169563,"176,189","14,728,800"
firstblood,"Mar 24, 2018",0.174284,0.181498,0.169403,0.170743,"139,724","14,911,400"
firstblood,"Mar 23, 2018",0.173212,0.176530,0.164143,0.172999,"91,064","14,819,700"
firstblood,"Mar 22, 2018",0.182215,0.183501,0.168102,0.173205,"214,756","15,590,100"
firstblood,"Mar 21, 2018",0.182269,0.190935,0.164967,0.182430,"305,484","15,594,600"
firstblood,"Mar 20, 2018",0.171687,0.188399,0.166480,0.182072,"136,859","14,689,300"
firstblood,"Mar 19, 2018",0.158899,0.179953,0.153592,0.170256,"277,040","13,595,100"
firstblood,"Mar 18, 2018",0.177140,0.185151,0.135090,0.159435,"325,457","15,155,800"
firstblood,"Mar 17, 2018",0.191796,0.192101,0.166112,0.177413,"320,591","16,409,700"
firstblood,"Mar 16, 2018",0.192957,0.193713,0.182162,0.191578,"128,171","16,509,100"
firstblood,"Mar 15, 2018",0.186639,0.195327,0.173870,0.192771,"335,622","15,968,500"
firstblood,"Mar 14, 2018",0.198258,0.211455,0.179201,0.181683,"198,130","16,962,600"
firstblood,"Mar 13, 2018",0.205300,0.214365,0.195634,0.198231,"333,267","17,565,100"
firstblood,"Mar 12, 2018",0.207640,0.221295,0.198338,0.204069,"275,219","17,765,300"
firstblood,"Mar 11, 2018",0.204395,0.215782,0.192643,0.207997,"641,145","17,487,700"
firstblood,"Mar 10, 2018",0.232567,0.232567,0.199441,0.204984,"3,317,240","19,898,100"
firstblood,"Mar 09, 2018",0.286771,0.315003,0.194015,0.229321,"5,283,520","24,535,700"
firstblood,"Mar 08, 2018",0.297809,0.316755,0.239879,0.251289,"2,963,410","25,480,000"
firstblood,"Mar 07, 2018",0.338611,0.368340,0.287558,0.312448,"3,851,630","28,971,000"
firstblood,"Mar 06, 2018",0.356385,0.380971,0.318365,0.343311,"3,586,940","30,491,800"
firstblood,"Mar 05, 2018",0.365435,0.396635,0.344839,0.351463,"2,462,300","31,266,000"
firstblood,"Mar 04, 2018",0.365578,0.382985,0.334740,0.366199,"1,754,010","31,278,200"
firstblood,"Mar 03, 2018",0.327138,0.412376,0.317534,0.399792,"7,606,540","27,989,400"
firstblood,"Mar 02, 2018",0.318823,0.369430,0.298267,0.335415,"5,384,340","27,278,000"
firstblood,"Mar 01, 2018",0.285801,0.329630,0.285801,0.319909,"2,324,120","24,452,700"
firstblood,"Feb 28, 2018",0.324804,0.409360,0.290762,0.291169,"5,321,840","27,789,700"
firstblood,"Feb 27, 2018",0.284121,0.328170,0.283447,0.322327,"1,402,640","24,308,900"
firstblood,"Feb 26, 2018",0.294688,0.303199,0.270953,0.283365,"1,464,700","25,213,000"
firstblood,"Feb 25, 2018",0.311143,0.319215,0.281973,0.294445,"1,247,270","26,620,900"
firstblood,"Feb 24, 2018",0.307509,0.365525,0.279749,0.310406,"3,772,880","26,309,900"
firstblood,"Feb 23, 2018",0.393482,0.449294,0.278812,0.308057,"1,557,560","33,665,700"
firstblood,"Feb 22, 2018",0.420830,0.450572,0.383029,0.391095,"230,265","36,005,500"
firstblood,"Feb 21, 2018",0.460734,0.483468,0.420285,0.420285,"472,751","39,419,600"
firstblood,"Feb 20, 2018",0.526690,0.547527,0.460699,0.461207,"681,292","45,062,800"
firstblood,"Feb 19, 2018",0.503051,0.551921,0.503051,0.528976,"873,892","43,040,200"
firstblood,"Feb 18, 2018",0.578873,0.580535,0.501645,0.504960,"441,100","49,527,500"
firstblood,"Feb 17, 2018",0.544119,0.606368,0.536632,0.577314,"958,902","46,553,900"
firstblood,"Feb 16, 2018",0.521592,0.549559,0.508431,0.541942,"441,490","44,626,600"
firstblood,"Feb 15, 2018",0.536790,0.542946,0.506758,0.526216,"400,941","45,926,800"
firstblood,"Feb 14, 2018",0.496054,0.536421,0.480302,0.531506,"530,600","42,441,600"
firstblood,"Feb 13, 2018",0.516719,0.530807,0.471017,0.495667,"422,829","44,209,700"
firstblood,"Feb 12, 2018",0.463355,0.543099,0.458654,0.515829,"2,810,750","39,643,900"
firstblood,"Feb 11, 2018",0.499441,0.499441,0.427574,0.461776,"699,740","42,731,300"
firstblood,"Feb 10, 2018",0.498333,0.583791,0.470087,0.500551,"2,172,040","42,636,600"
firstblood,"Feb 09, 2018",0.452680,0.506780,0.425664,0.497180,"890,183","38,730,600"
firstblood,"Feb 08, 2018",0.441006,0.508280,0.432894,0.448720,"1,151,470","37,731,800"
firstblood,"Feb 07, 2018",0.453339,0.499402,0.415531,0.443992,"657,504","38,787,000"
firstblood,"Feb 06, 2018",0.416308,0.460557,0.320579,0.457932,"1,078,460","35,618,700"
firstblood,"Feb 05, 2018",0.521981,0.587064,0.380922,0.417673,"2,017,130","44,659,900"
firstblood,"Feb 04, 2018",0.601473,0.635114,0.503688,0.520612,"729,609","51,461,000"
firstblood,"Feb 03, 2018",0.568331,0.625655,0.520925,0.602361,"549,009","48,625,500"
firstblood,"Feb 02, 2018",0.619556,0.619556,0.442445,0.566927,"1,296,660","53,008,200"
firstblood,"Feb 01, 2018",0.712369,0.749994,0.575347,0.617086,"2,266,540","60,949,100"
firstblood,"Jan 31, 2018",0.702781,0.742727,0.647542,0.718606,"2,941,600","60,128,800"
firstblood,"Jan 30, 2018",0.934691,1.05,0.644488,0.694661,"5,674,320","79,970,600"
firstblood,"Jan 29, 2018",1.06,1.06,0.930075,0.942708,"2,992,920","90,573,800"
firstblood,"Jan 28, 2018",0.925986,1.20,0.902260,1.08,"16,448,900","79,225,900"
firstblood,"Jan 27, 2018",0.951608,0.957699,0.888957,0.929496,"2,151,490","81,418,100"
firstblood,"Jan 26, 2018",0.877073,0.960919,0.790630,0.947933,"2,116,200","75,040,900"
firstblood,"Jan 25, 2018",0.869330,0.918586,0.833485,0.879118,"2,233,910","74,378,500"
firstblood,"Jan 24, 2018",0.801803,0.871599,0.780185,0.861675,"2,208,900","68,601,000"
firstblood,"Jan 23, 2018",0.821330,0.860921,0.733243,0.806612,"2,762,100","70,271,600"
firstblood,"Jan 22, 2018",0.912334,0.988514,0.752626,0.823604,"3,855,440","78,057,800"
firstblood,"Jan 21, 2018",1.08,1.08,0.861846,0.899747,"3,711,080","92,100,400"
firstblood,"Jan 20, 2018",1.05,1.21,1.05,1.07,"3,235,220","89,826,000"
firstblood,"Jan 19, 2018",1.02,1.11,0.990193,1.04,"2,632,670","86,987,700"
firstblood,"Jan 18, 2018",0.912618,1.17,0.883336,1.04,"5,004,190","78,082,100"
firstblood,"Jan 17, 2018",0.936806,0.999623,0.665543,0.913256,"3,183,210","80,151,600"
firstblood,"Jan 16, 2018",1.44,1.44,0.763347,0.943390,"5,934,010","123,188,000"
firstblood,"Jan 15, 2018",1.54,1.66,1.44,1.44,"4,338,290","131,701,000"
firstblood,"Jan 14, 2018",1.80,1.80,1.51,1.55,"4,021,840","153,619,000"
firstblood,"Jan 13, 2018",1.59,1.90,1.51,1.80,"8,405,920","135,618,000"
firstblood,"Jan 12, 2018",1.45,1.64,1.33,1.59,"5,080,030","123,772,000"
firstblood,"Jan 11, 2018",1.74,1.77,1.30,1.44,"5,075,070","149,136,000"
firstblood,"Jan 10, 2018",2.01,2.03,1.61,1.75,"6,578,210","171,798,000"
firstblood,"Jan 09, 2018",2.03,2.34,1.92,2.01,"13,404,900","173,259,000"
firstblood,"Jan 08, 2018",1.92,2.04,1.57,2.04,"9,660,440","164,573,000"
firstblood,"Jan 07, 2018",2.01,2.32,1.89,1.91,"13,423,300","171,862,000"
firstblood,"Jan 06, 2018",1.64,2.19,1.54,1.98,"12,774,100","140,303,000"
firstblood,"Jan 05, 2018",1.68,1.98,1.53,1.64,"16,348,400","144,085,000"
firstblood,"Jan 04, 2018",1.77,1.92,1.45,1.71,"16,298,900","151,310,000"
firstblood,"Jan 03, 2018",1.26,1.74,1.23,1.74,"18,344,100","107,757,000"
firstblood,"Jan 02, 2018",0.958985,1.40,0.957667,1.25,"20,246,000","82,049,200"
firstblood,"Jan 01, 2018",0.931759,0.999290,0.872101,0.971998,"3,068,450","79,719,800"
